food_id,food_name_ar,food_name_en,ingredients_ar,ingredients_en,description_ar,description_en,main_category_ar,main_category_en,calorie_category,rating_avg,image_url,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g,user_1_rating,user_2_rating,user_3_rating,user_4_rating,user_5_rating,user_6_rating,user_7_rating,user_8_rating,user_9_rating,user_10_rating,user_11_rating,user_12_rating,user_13_rating,user_14_rating,user_15_rating,user_16_rating,user_17_rating,user_18_rating,user_19_rating,user_20_rating
1,كشري,Koshari,مكرونة، عدس، أرز، صلصة طماطم، بصل مقلي,"Pasta, lentils, rice, tomato sauce, fried onions",أكلة مصرية شهيرة تجمع بين المكرونة والعدس والأرز وتُقدم مع الصلصة والبصل المقلي.,"A famous Egyptian dish combining pasta, lentils, rice, tomato sauce, and fried onions.",نباتي,Vegetarian,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/b/b1/Egyptian_food_Koshary.jpg,140.0,3.3,4.3,23.3,,,,4.0,,,,,2.0,,4.0,,,,4.0,2.0,2.0,,,5.0
2,ملوخية,Molokhia,ورق ملوخية، ثوم، مرقة دجاج,"Molokhia leaves, garlic, chicken broth",طبق شعبي من أوراق الملوخية المطبوخة بالثوم والمرقة.,A traditional soup made from jute leaves cooked with garlic and broth.,نباتي,Vegetarian,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/3/3e/Molokhia_2.JPG,35.0,0.2,3.5,6.5,,,5.0,,,4.0,3.0,,,,,3.0,1.0,,5.0,,,,1.0,2.0
3,طعمية,Falafel,فول مدمس، بصل، بقدونس، كزبرة,"Fava beans, onion, parsley, coriander",أقراص مقلية مصنوعة من الفول المدمس والأعشاب,Fried patties made from fava beans and herbs.,نباتي,Vegetarian,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/b/b8/Falafel.jpg,333.0,17.8,13.3,31.8,,,,,1.0,,3.0,,,,,,,,5.0,,,1.0,,1.0
4,فتة,Fattah,أرز، خبز محمص، صلصة طماطم، لحم,"Rice, toasted bread, tomato sauce, meat",أكلة مصرية تُقدّم عادة في المناسبات وتتكوّن من أرز وخبز وصلصة ولحم.,"A celebratory Egyptian dish made with rice, toasted bread, tomato sauce, and meat.",لحوم,Meat,High,4.4,https://upload.wikimedia.org/wikipedia/commons/7/77/Fattah.jpg,177.0,4.7,9.8,22.8,5.0,1.0,,3.0,,,,,1.0,3.0,5.0,,3.0,,,3.0,,,,
5,محشي كرنب,Stuffed Cabbage,كرنب، أرز، صلصة طماطم، بصل,"Cabbage, rice, tomato sauce, onion",ورق كرنب محشي بالأرز والخضار والصلصة.,"Cabbage leaves stuffed with rice, herbs, and tomato sauce.",نباتي,Vegetarian,Medium,4.3,https://upload.wikimedia.org/wikipedia/commons/d/d2/Mahshi_karnab.jpg,99.0,2.8,2.0,16.8,4.0,,,,,,4.0,4.0,,3.0,5.0,,2.0,,,,,3.0,,
6,فطير مشلتت,Feteer Meshaltet,دقيق، سمن، ماء، ملح,"Flour, butter, water, salt",فطير مصري تقليدي يقدم بالعسل أو الجبن,Traditional Egyptian pastry served with honey or cheese,معجنات,Pastry,High,4.6,https://upload.wikimedia.org/wikipedia/commons/2/2f/Feteer_Meshaltet.jpg,368.0,19.8,7.2,42.1,3.0,,,5.0,4.0,1.0,,4.0,2.0,,,,,,5.0,1.0,,,,
7,بط بالبرتقال,Duck with Orange,بط، برتقال، زبدة، ثوم,"Duck, orange, butter, garlic",بط مطهو بصلصة البرتقال,Duck cooked with orange sauce,دواجن,Poultry,High,4.3,https://upload.wikimedia.org/wikipedia/commons/6/64/Duck_a_lorange.jpg,337.0,28.4,19.0,0.0,,,,,4.0,,,,,,,,,,,,,5.0,1.0,
8,حمام محشي,Stuffed Pigeon,حمام، أرز، كبدة، بصل,"Pigeon, rice, liver, onion",حمام محشي بالأرز ومتبل,Pigeon stuffed with spiced rice,دواجن,Poultry,High,4.7,https://upload.wikimedia.org/wikipedia/commons/f/fb/Stuffed_pigeon.jpg,194.0,8.1,14.9,14.3,,1.0,,1.0,,,,5.0,,1.0,,2.0,,,,,2.0,,,
9,بسلة بالجزر,Peas with Carrots,بسلة، جزر، صلصة طماطم,"Peas, carrots, tomato sauce",أكلة خفيفة تقدم مع الأرز,Light dish served with rice,نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/5/5b/Peas_and_carrots.jpg,84.0,0.2,5.4,15.6,,,,5.0,3.0,,,,1.0,,,1.0,1.0,,,,,,,
10,رز معمر,Rice with Milk,أرز، لبن، قشطة، سكر,"Rice, milk, cream, sugar",رز مطهو بالحليب والقشطة,Rice baked with milk and cream,حلويات,Dessert,High,4.5,https://upload.wikimedia.org/wikipedia/commons/4/4c/Roz_meammar.jpg,112.0,2.7,3.3,19.4,,,,,,,,5.0,2.0,,,,,,5.0,,,,,1.0
11,مكرونة بشاميل,Macarona Béchamel,مكرونة، لحمة مفرومة، صوص بشاميل,"Pasta, minced meat, béchamel sauce",مكرونة باللحمة وصوص كريمي,Pasta with minced meat and creamy sauce,مكرونة,Pasta,High,4.6,https://upload.wikimedia.org/wikipedia/commons/8/8f/Macarona_Bechamel.jpg,218.0,11.1,13.6,18.8,3.0,,5.0,3.0,3.0,,,,,,,,,,,5.0,,,3.0,
12,سمك مقلي,Fried Fish,سمك، دقيق، زيت,"Fish, flour, oil",سمك مقلي يقدم مع أرز وسلطة,Fried fish served with rice and salad,أسماك,Seafood,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/1/1d/Fried_fish.jpg,205.0,10.5,22.0,7.5,1.0,,,,2.0,,,,,,,3.0,,,3.0,,,3.0,,
